,short,medium,distance,long,no ACC,mixed
0,dynamic_part10.csv,dynamic_part9.csv,95.27371813139413,,,
0,dynamic_part17.csv,dynamic_part9.csv,96.24277193646253,,,
0,handling_part4.csv,dynamic_part9.csv,322.3685120911253,,,
0,dynamic_part1.csv,dynamic_part9.csv,55.79074072412995,,,
0,handling_part1.csv,dynamic_part9.csv,288.72314931378713,,,
0,handling_part2.csv,dynamic_part9.csv,350.1798379795053,,,
0,dynamic_part10.csv,,313.17133927202264,handling_part8.csv,,
0,dynamic_part10.csv,,304.41846944466374,handling_part13.csv,,
0,dynamic_part10.csv,,34.73883916034769,dynamic_part16.csv,,
0,dynamic_part10.csv,,12.239866144709309,dynamic_part15.csv,,
0,dynamic_part10.csv,,1.1926027312086274,dynamic_part2.csv,,
0,dynamic_part17.csv,,312.76489927517537,handling_part8.csv,,
0,dynamic_part17.csv,,301.2100481175302,handling_part13.csv,,
0,dynamic_part17.csv,,35.974357775637976,dynamic_part16.csv,,
0,dynamic_part17.csv,,10.437845470920628,dynamic_part15.csv,,
0,dynamic_part17.csv,,3.1471009867431463,dynamic_part2.csv,,
0,handling_part4.csv,,78.67164259000748,handling_part8.csv,,
0,handling_part4.csv,,29.348511296613683,handling_part13.csv,,
0,handling_part4.csv,,204.63234357082106,dynamic_part16.csv,,
0,handling_part4.csv,,267.0267626306541,dynamic_part15.csv,,
0,handling_part4.csv,,319.5700278755772,dynamic_part2.csv,,
0,dynamic_part1.csv,,329.7911669705875,handling_part8.csv,,
0,dynamic_part1.csv,,322.1075227406749,handling_part13.csv,,
0,dynamic_part1.csv,,19.93080343322576,dynamic_part16.csv,,
0,dynamic_part1.csv,,34.203167104841484,dynamic_part15.csv,,
0,dynamic_part1.csv,,42.74248578400787,dynamic_part2.csv,,
0,handling_part1.csv,,195.89072980689815,handling_part8.csv,,
0,handling_part1.csv,,216.13734534014904,handling_part13.csv,,
0,handling_part1.csv,,110.21630367071121,dynamic_part16.csv,,
0,handling_part1.csv,,278.6416964289635,dynamic_part15.csv,,
0,handling_part1.csv,,282.2686346423742,dynamic_part2.csv,,
0,handling_part2.csv,,162.88746231099975,handling_part8.csv,,
0,handling_part2.csv,,155.55763772289998,handling_part13.csv,,
0,handling_part2.csv,,216.8121180079134,dynamic_part16.csv,,
0,handling_part2.csv,,351.54043890336834,dynamic_part15.csv,,
0,handling_part2.csv,,348.7175958248562,dynamic_part2.csv,,
0,dynamic_part10.csv,,317.40466501728093,,,handling_part5.csv
0,dynamic_part17.csv,,316.8675712875439,,,handling_part5.csv
0,handling_part4.csv,,117.24420746203651,,,handling_part5.csv
0,dynamic_part1.csv,,318.06169528501795,,,handling_part5.csv
0,handling_part1.csv,,169.8339176293551,,,handling_part5.csv
0,handling_part2.csv,,180.51894955506222,,,handling_part5.csv
0,,dynamic_part9.csv,306.65016771083106,handling_part8.csv,,
0,,dynamic_part9.csv,291.84912829332075,handling_part13.csv,,
0,,dynamic_part9.csv,60.08426859144634,dynamic_part16.csv,,
0,,dynamic_part9.csv,29.329120540360318,dynamic_part15.csv,,
0,,dynamic_part9.csv,60.78292002633955,dynamic_part2.csv,,
0,,dynamic_part9.csv,318.1679413433936,,,handling_part5.csv
0,,,56.89057818865393,handling_part8.csv,,handling_part5.csv
0,,,93.57809006293495,handling_part13.csv,,handling_part5.csv
0,,,195.69618459764285,dynamic_part16.csv,,handling_part5.csv
0,,,305.25315594008583,dynamic_part15.csv,,handling_part5.csv
0,,,316.3098599470076,dynamic_part2.csv,,handling_part5.csv
